frozen baseline Brier (q=0.246335964) = 0.1298625079

checkpoint                                       model Brier            diff
dev_base2 (old loss, old selection)             0.0901430653   -0.0397194426
dev_relabel (old loss, 256-sim labels)          0.0891486241   -0.0407138837
M128-R0-s17                                     0.1314604199   +0.0015979121
M128-R0-s29                                     0.1636936277   +0.0338311199
M128-R0-s43                                     0.1521442667   +0.0222817588
M192-R0-s43                                     0.1612164168   +0.0313539089
M192-R1-s43                                     0.1373665139   +0.0075040061
M128-R0-s17 last.pt                             0.1626291775   +0.0327666696
