run,data,init_seed,selected_step,selected_kl_dev,teacher_choice_agreement,last_step,last_kl_dev,selected_sha256,last_sha256,parameters
D96_s17,data/s1r/train,17,400,0.10868758457738913,0.5668016194331984,500,0.11352078145799423,34ea8ff0aa55cf6f,696350ae70af56da,1949325
D96_s29,data/s1r/train,29,400,0.11105501457132781,0.5708502024291497,500,0.11853806043576769,6cf0a94c695f1182,15b5669bc6a413af,1949325
D96_s43,data/s1r/train,43,400,0.10600481499149134,0.5668016194331984,500,0.11500136359945935,aae9f1f754748d46,df3091ea9361603c,1949325
D384_s17,data/s1r/train+data/s2/add288,17,500,0.1000072945840026,0.5951417004048583,500,0.1000072945840026,7d758857aa8ba77e,1074866bc478067f,1949325
D384_s29,data/s1r/train+data/s2/add288,29,425,0.11115480321932518,0.611336032388664,500,0.11195193429648599,24c26ea9d1f36ed4,a1a60b922a83f11f,1949325
D384_s43,data/s1r/train+data/s2/add288,43,350,0.10288797378768787,0.5991902834008097,500,0.10345044215532818,ac2a5c4b4bde8329,e35508d6990d6d02,1949325
